State,Nene,Kim,Kandi,Porsha,Kenya
Georgia,17,10,28,27,18
Mississippi,20,6,28,26,20
Louisiana,19,11,24,25,21
Alabama,18,12,26,25,19
South Carolina,18,12,27,23,20
Maryland,20,12,24,24,20
District of Columbia,20,11,24,23,22
North Carolina,18,11,25,25,21
Tennessee,20,13,25,23,19
Delaware,16,14,26,24,20
Florida,19,14,24,24,19
Arkansas,21,12,24,23,20
Texas,18,14,23,25,20
Virginia,19,13,25,23,20
Michigan,18,14,25,22,21
Maine,15,55,13,10,7
Missouri,20,15,25,21,19
Illinois,20,13,24,22,21
New Jersey,19,19,23,21,18
New York,20,14,23,22,21
Kentucky,21,17,24,21,17
West Virginia,23,35,17,12,13
Oklahoma,17,20,24,21,18
Kansas,20,14,23,22,21
Pennsylvania,19,16,23,22,20
Nevada,20,20,20,22,18
Ohio,19,18,23,21,19
Rhode Island,17,26,20,19,18
Indiana,22,17,20,21,20
Connecticut,20,22,20,18,20
Iowa,22,30,14,17,17
Nebraska,23,26,19,15,17
Massachusetts,20,22,20,20,18
California,19,18,22,21,20
Minnesota,19,22,22,20,17
Arizona,17,22,20,22,19
Wisconsin,18,25,22,20,15
Hawaii,21,22,18,20,19
New Mexico,19,26,20,16,19
Washington,19,22,22,18,19
Montana,17,44,12,13,14
New Hampshire,25,29,20,11,15
Colorado,20,22,21,21,16
Idaho,16,35,12,21,16
North Dakota,24,29,20,17,10
South Dakota,26,33,17,17,7
Wyoming,15,30,23,12,20
Vermont,18,25,24,19,14
Alaska,21,19,22,21,17
Utah,25,27,17,20,11
Oregon,20,25,21,18,16
