State,Nene,Kim,Kandi,Porsha,Kenya
Georgia,20,22,23,20,15
Mississippi,23,16,25,21,15
Alabama,20,27,24,16,13
Louisiana,21,23,21,20,15
New Jersey,19,37,14,14,16
Rhode Island,16,46,13,11,14
Delaware,15,30,23,16,16
Maryland,21,22,20,17,20
Connecticut,17,43,15,12,13
Nebraska,12,48,14,11,15
South Carolina,21,23,23,18,15
Nevada,18,35,18,17,12
West Virginia,12,50,14,14,10
Arizona,17,42,15,15,11
District of Columbia,21,21,21,20,17
Ohio,17,37,19,14,13
Iowa,14,48,13,11,14
Arkansas,18,28,24,18,12
Tennessee,21,25,23,16,15
Florida,20,26,20,18,16
Wisconsin,13,49,15,10,13
Pennsylvania,18,32,18,15,17
Illinois,17,31,20,17,15
North Carolina,21,24,22,17,16
Michigan,18,28,21,17,16
Texas,18,28,20,19,15
New York,20,27,18,18,17
Indiana,14,40,19,14,13
Montana,11,62,8,10,9
Missouri,19,28,21,17,15
Massachusetts,18,38,13,14,17
South Dakota,12,50,16,10,12
Kentucky,19,26,21,14,20
California,18,35,15,16,16
New Mexico,10,46,15,17,12
Oklahoma,21,27,20,14,18
Idaho,8,51,11,14,16
New Hampshire,12,48,20,10,10
North Dakota,14,55,9,9,13
Minnesota,15,36,17,16,16
Kansas,20,36,15,12,17
Colorado,13,39,16,14,18
Maine,13,51,13,6,17
Washington,16,36,18,14,16
Hawaii,22,27,16,17,18
Virginia,21,20,22,18,19
Alaska,14,44,14,12,16
Utah,13,53,11,9,14
Vermont,18,45,16,6,15
Oregon,13,46,13,15,13
Wyoming,6,46,21,9,18
