State,Nene,Kim,Kandi,Porsha,Kenya
Georgia,18,19,23,21,19
Mississippi,21,15,25,20,19
District of Columbia,19,17,17,23,24
Maryland,18,19,19,19,25
Alabama,19,18,23,21,19
Louisiana,18,18,22,22,20
South Carolina,19,20,22,20,19
Maine,13,52,13,9,13
North Carolina,18,21,22,20,19
New Jersey,20,27,17,18,18
Tennessee,19,24,19,19,19
Virginia,19,23,20,19,19
Delaware,16,19,19,24,22
Oklahoma,18,28,20,18,16
Florida,19,22,20,20,19
Arkansas,18,22,21,21,18
Texas,18,23,19,20,20
Missouri,18,24,20,19,19
Kentucky,20,25,21,19,15
Pennsylvania,18,28,18,19,17
Minnesota,17,31,18,17,17
Kansas,14,27,20,18,21
Indiana,17,29,16,18,20
Montana,12,57,13,12,6
Ohio,18,27,19,17,19
New York,21,22,18,18,21
Rhode Island,21,30,13,17,19
Michigan,18,22,21,18,21
Nevada,20,27,17,17,19
Connecticut,18,26,18,17,21
Illinois,19,22,20,18,21
California,17,30,17,16,20
West Virginia,15,35,17,17,16
Arizona,16,30,14,20,20
Massachusetts,17,29,16,18,20
Wisconsin,16,33,18,17,16
Iowa,16,36,17,14,17
Nebraska,16,35,15,20,14
Washington,15,33,17,16,19
North Dakota,21,37,18,5,19
South Dakota,21,34,12,18,15
Colorado,18,31,17,17,17
Hawaii,15,27,15,21,22
New Hampshire,13,40,14,15,18
Wyoming,16,44,15,10,15
Idaho,14,39,17,8,22
New Mexico,13,31,14,19,23
Vermont,19,34,24,14,9
Utah,20,37,12,16,15
Alaska,22,27,15,17,19
Oregon,16,32,18,16,18
